epoch,accuracy,loss,val_accuracy,val_loss
0,0.36202600598335266,1.3328379392623901,0.44092220067977905,1.2915401458740234
1,0.6346526145935059,1.0130927562713623,0.6282420754432678,0.944553792476654
2,0.7907556295394897,0.5892183184623718,0.6974063515663147,0.787813663482666
3,0.8483254909515381,0.41721099615097046,0.6887608170509338,0.8016301393508911
4,0.8787711262702942,0.3311508893966675,0.6772334575653076,0.8286322951316833
5,0.9020204544067383,0.273175448179245,0.6599423885345459,0.8778787851333618
6,0.9288679957389832,0.217080220580101,0.6685879230499268,0.9247978925704956
7,0.9446443319320679,0.17979362607002258,0.651296854019165,0.9813101291656494
8,0.950179934501648,0.1557750254869461,0.6599423885345459,1.045076608657837
9,0.9584832787513733,0.13580939173698425,0.6628242135047913,1.130926489830017
10,0.9642956256866455,0.11766576021909714,0.6541786789894104,1.1512562036514282
11,0.9687240719795227,0.11028029024600983,0.6570605039596558,1.2299938201904297
12,0.9703847169876099,0.10038129985332489,0.6455331444740295,1.2516062259674072
13,0.9739828109741211,0.08992447704076767,0.6368876099586487,1.3468942642211914
14,0.9698311686515808,0.09666628390550613,0.6657060384750366,1.3437108993530273
15,0.9725989699363708,0.08430630713701248,0.6455331444740295,1.4200807809829712
16,0.9723221659660339,0.08138952404260635,0.6426513195037842,1.4279839992523193
17,0.9759202599525452,0.07654082775115967,0.639769434928894,1.460808515548706
18,0.9778577089309692,0.07184931635856628,0.6426513195037842,1.5480915307998657
19,0.9767506122589111,0.06729166209697723,0.6455331444740295,1.5424294471740723
20,0.9784113168716431,0.06569738686084747,0.6455331444740295,1.5437911748886108
21,0.9784113168716431,0.06692562997341156,0.6570605039596558,1.5576863288879395
22,0.977027416229248,0.06236444413661957,0.651296854019165,1.5803419351577759
23,0.9784113168716431,0.06111513450741768,0.651296854019165,1.6221626996994019
24,0.9786880612373352,0.05548819527029991,0.6426513195037842,1.6712838411331177
